motif	ntarget_hits	nrandom_hits	Posison.Test	max.class	max.FC	Poison.Test.P.value	Q1	Median	Q3	IQR	Outlier	max.peak	peak.IQR.ratio	peak.Test
ZNF319_1.motif	86	107	Not-Overlapped	NA	NA	0.484327252547298	NA	NA	NA	NA	NA	NA	NA	NA
ZNF319_2.motif	38	57	Not-Overlapped	NA	NA	0.0166482298576046	NA	NA	NA	NA	NA	NA	NA	NA
ZNF319_6.motif	1215	1316	Not-Overlapped	NA	NA	0.999423098833377	NA	NA	NA	NA	NA	NA	NA	NA
ZNF3_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF320_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF32_1.Infer.motif	1031	1073	Not-Overlapped	NA	NA	0.788594106870577	NA	NA	NA	NA	NA	NA	NA	NA
ZNF322_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF324_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF324B_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF329_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF331_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF333_1.motif	161	142	Not-Overlapped	NA	NA	0.294448919408082	NA	NA	NA	NA	NA	NA	NA	NA
ZNF334_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF334_2.motif	5	1	Not-Overlapped	NA	NA	0.266910219855672	NA	NA	NA	NA	NA	NA	NA	NA
ZNF335_1.motif	654	574	Not-Overlapped	NA	NA	0.659405228078559	NA	NA	NA	NA	NA	NA	NA	NA
ZNF335_2.motif	784	798	Not-Overlapped	NA	NA	0.152169651093144	NA	NA	NA	NA	NA	NA	NA	NA
ZNF335_6.motif	351	327	Not-Overlapped	NA	NA	0.957174689370756	NA	NA	NA	NA	NA	NA	NA	NA
ZNF337_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF33A_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
