motif	ntarget_hits	nrandom_hits	Posison.Test	max.class	max.FC	Poison.Test.P.value	Q1	Median	Q3	IQR	Outlier	max.peak	peak.IQR.ratio	peak.Test
ZNF236_3.motif	2392	2307	Not-Overlapped	NA	NA	0.0459142497256939	NA	NA	NA	NA	NA	NA	NA	NA
ZNF236_4.motif	195	203	Not-Overlapped	NA	NA	0.894806398355915	NA	NA	NA	NA	NA	NA	NA	NA
ZNF236_5.motif	40991	41464	Not-Overlapped	NA	NA	0.999895612842046	NA	NA	NA	NA	NA	NA	NA	NA
ZNF236_6.motif	6734	6787	Not-Overlapped	NA	NA	0.692791033569366	NA	NA	NA	NA	NA	NA	NA	NA
ZNF236_8.motif	762	765	Not-Overlapped	NA	NA	0.999906858387057	NA	NA	NA	NA	NA	NA	NA	NA
ZNF239_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF24_1.motif	104	110	Not-Overlapped	NA	NA	0.158234640634615	NA	NA	NA	NA	NA	NA	NA	NA
ZNF248_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF250_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF251_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF25_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF253_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF254_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF256_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF257_1.motif	449	444	Not-Overlapped	NA	NA	0.991202042468339	NA	NA	NA	NA	NA	NA	NA	NA
ZNF257_2.motif	762	696	Not-Overlapped	NA	NA	0.961169700682339	NA	NA	NA	NA	NA	NA	NA	NA
ZNF257_3.motif	2059	1951	Not-Overlapped	NA	NA	0.0251376746034527	NA	NA	NA	NA	NA	NA	NA	NA
ZNF260_1.motif	7431	7660	Not-Overlapped	NA	NA	0.803705045373801	NA	NA	NA	NA	NA	NA	NA	NA
ZNF260_2.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF26_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF263_1.motif	158	194	Not-Overlapped	NA	NA	0.976648446986029	NA	NA	NA	NA	NA	NA	NA	NA
ZNF263_2.motif	119	92	Not-Overlapped	NA	NA	0.465213789664657	NA	NA	NA	NA	NA	NA	NA	NA
ZNF264_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF266_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF267_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF268_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF271_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF273_1.motif	1	5	Not-Overlapped	NA	NA	0.276692269798026	NA	NA	NA	NA	NA	NA	NA	NA
ZNF273_2.motif	119	155	Not-Overlapped	NA	NA	0.199875335538461	NA	NA	NA	NA	NA	NA	NA	NA
ZNF274_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF275_1.motif	7695	7793	Not-Overlapped	NA	NA	0.482098161773871	NA	NA	NA	NA	NA	NA	NA	NA
ZNF275_2.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF276_1.motif	5579	5234	Not-Overlapped	NA	NA	0.00742883835447226	NA	NA	NA	NA	NA	NA	NA	NA
ZNF281_1.motif	679	536	Not-Overlapped	NA	NA	0.207219795049076	NA	NA	NA	NA	NA	NA	NA	NA
ZNF28_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF282_1.motif	8	1	Not-Overlapped	NA	NA	0.266910219855672	NA	NA	NA	NA	NA	NA	NA	NA
ZNF283_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
ZNF284_1.motif	0	0	Not-Overlapped	NA	NA	0.264241117657115	NA	NA	NA	NA	NA	NA	NA	NA
