prmtrID	iPS_DE_66h_rep1	iPS_DE_00h_rep1	iPS_DE_96h_rep1	iPS_DE_48h_rep1	iPS_DE_72h_rep1	iPS_DE_60h_rep1	iPS_DE_54h_rep1	iPS_DE_66h_rep2	iPS_DE_00h_rep2	iPS_DE_96h_rep2	iPS_DE_48h_rep2	iPS_DE_72h_rep2	iPS_DE_60h_rep2	iPS_DE_54h_rep2	iPS_DE_66h_rep3	iPS_DE_00h_rep3	iPS_DE_96h_rep3	iPS_DE_48h_rep3	iPS_DE_72h_rep3	iPS_DE_60h_rep3	iPS_DE_54h_rep3
cg00075488	5156.49358	4126.07450	3983.30804	3602.52177	6057.44125	2086.71458	5412.40146	4287.94179	3524.34408	2432.28303	3374.10375	3611.41206	4026.84564	3015.99790	4131.71404	3671.35080	4176.42864	3082.68193	4097.42773	3533.99951	2983.59025
cg00276145	239.83691	114.61318	474.20334	100.07005	104.43864	347.78576	0	0	261.06252	552.79160	0	120.38040	0	0	125.20346	0	101.86411	220.19157	227.63487	0	0
cg00324097	153615.54143	235644.69914	148710.16692	207745.42180	185065.27415	184210.52632	176491.35192	170608.10811	242135.49145	157435.04699	190531.42134	185385.81919	176375.83893	191450.30160	172905.97220	221167.23636	146786.18723	200484.42145	184042.79536	157811.35754	197289.90552
cg00442066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg00646731	0	0	0	0	104.43864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg00867540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.86205	0
cg01258042	3237.79830	1948.42407	6733.68741	15310.71750	3550.91384	6839.78669	11413.10742	2858.62786	1305.31262	10613.59867	21826.23366	2889.12965	7248.32215	11408.33989	4507.32440	1139.38473	9065.90608	17615.32533	2617.80105	6946.13697	10318.24963
cg01338955	0	0	0	0	0	0	0	129.93763	0	0	0	0	0	0	0	0	0	0	0	0	0
cg01475742	0	0	0	0	104.43864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.31626
cg01565291	5516.24895	15243.55301	4552.35205	9406.58461	8877.28460	6723.85810	6824.33227	6107.06861	15402.68894	5749.03261	9489.66681	7102.44372	5503.35570	6818.77787	8388.63153	17217.36929	5806.25446	11890.34460	8081.03802	7311.72313	8577.82198
cg01722003	119.91846	0	189.68134	0	104.43864	0	0	129.93763	0	0	105.44074	120.38040	134.22819	0	0	126.59830	203.72823	0	227.63487	121.86205	124.31626
cg02075590	359.75537	0	379.36267	0	208.87728	347.78576	235.32180	259.87526	0	221.11664	105.44074	601.90201	0	262.26069	250.40691	0	509.32057	110.09578	455.26975	243.72410	0
cg02177811	479.67382	458.45272	189.68134	800.56039	313.31593	115.92859	117.66090	0	652.65631	442.23328	527.20371	240.76080	0	1180.17309	500.81382	632.99152	203.72823	330.28735	341.45231	365.58616	248.63252
cg02217731	0	0	94.84067	300.21015	0	115.92859	0	0	0	0	0	0	134.22819	0	0	0	305.59234	0	227.63487	0	124.31626
cg02239163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg02531059	0	114.61318	0	0	0	231.85718	0	0	0	0	0	0	0	0	0	0	0	0	227.63487	0	0
cg02534167	0	0	0	0	0	115.92859	0	0	0	110.55832	0	0	0	0	125.20346	126.59830	0	0	0	0	0
cg02550627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg02596153	0	0	0	0	104.43864	0	0	0	0	0	0	0	0	0	125.20346	0	0	110.09578	0	0	0
cg02727723	23024.34345	8137.53582	18588.77086	11608.12569	16501.30548	19128.21702	15648.89987	17541.58004	7048.68816	10724.15699	8857.02235	18779.34272	19328.85906	15079.98951	16777.26305	6583.11179	13446.06295	10899.48255	16958.79809	18523.03193	18025.85778
cg02888745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg03005087	119.91846	114.61318	284.52200	0	0	0	0	0	130.53126	0	0	361.14121	0	0	0	253.19661	0	0	0	0	0
cg03392837	719.51073	0	3603.94537	100.07005	1253.26371	463.71435	235.32180	1039.50104	0	2211.16639	0	2046.46684	402.68456	262.26069	1126.83110	253.19661	3463.37985	110.09578	1821.07899	121.86205	372.94878
cg03463612	479.67382	0	0	1501.05074	104.43864	347.78576	1058.94811	389.81289	0	221.11664	1159.84817	240.76080	402.68456	2098.08550	375.61037	0	101.86411	2532.20302	455.26975	365.58616	2113.37643
cg03595199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113.81744	0	0
cg03611007	0	0	0	0	0	0	0	0	0	0	0	0	0	131.13034	125.20346	0	101.86411	0	0	0	0
cg03624321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg03637670	104448.97470	118510.02865	68380.12140	113079.15541	95143.60313	118942.73128	120955.40652	87967.77547	110037.85407	61470.42565	99746.94222	93535.57241	105234.89933	122738.00157	92024.53988	111659.70376	65702.35306	102499.17428	87070.33918	116012.67365	129786.17603
cg03659281	119.91846	0	0	0	104.43864	0	117.66090	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg03823686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg03824268	35375.94436	31174.78510	39074.35508	33723.60652	40313.31593	33851.14769	35886.57489	41320.16632	32241.22177	36705.36208	28679.88191	37799.44625	34228.18792	33962.75898	43696.00601	29877.19965	40847.50942	34900.36332	40746.64239	29246.89252	35927.39930
cg03918306	119.91846	0	0	0	0	115.92859	0	129.93763	0	0	0	120.38040	0	0	0	0	0	0	0	0	124.31626
cg04058149	1199.18455	1146.13181	853.56601	1000.70049	1775.45692	1854.85741	1411.93082	1169.43867	783.18757	1326.69983	1159.84817	481.52161	2147.65101	655.65172	626.01728	1012.78643	713.04879	770.67048	1479.62668	974.89642	870.21382
cg04065352	75548.62693	47106.01719	83933.99090	63644.55119	74360.31332	74310.22490	70243.55807	66008.31601	49993.47344	69430.62465	62315.47870	74756.22969	67248.32215	67532.12693	74871.66646	46461.57741	74157.07446	57800.28625	69314.81903	73239.09335	73470.91000
cg04086018	2038.61374	1031.51862	189.68134	200.14010	1671.01828	3130.07188	1529.59172	1949.06445	261.06252	1437.25815	316.32223	2648.36885	2550.33557	1966.95515	3255.28985	886.18813	1018.64113	770.67048	1138.17437	1584.20668	621.58130
cg04163916	0	0	0	0	0	0	0	0	0	0	0	120.38040	0	0	0	0	0	0	0	121.86205	0
cg04396637	20026.38206	46762.17765	12044.76480	33423.39638	13994.77807	18896.35984	28826.92081	16372.14137	37984.59731	16141.51465	33108.39308	14927.16986	20134.22819	24521.37425	17278.07687	43549.81643	15788.93756	32368.16030	14227.17960	23519.37607	27846.84237
cg04424885	2278.45065	1260.74499	1991.65402	1801.26088	1566.57963	811.50012	1529.59172	779.62578	1174.78136	2211.16639	843.52594	601.90201	1476.51007	1835.82481	626.01728	1012.78643	1527.96170	660.57470	1593.44412	1462.34463	1243.16261
cg04497520	0	0	0	0	0	0	0	129.93763	0	0	0	0	0	0	0	0	0	0	0	0	0
cg04588745	0	229.22636	94.84067	0	0	231.85718	0	0	130.53126	0	105.44074	361.14121	0	131.13034	125.20346	126.59830	0	220.19157	0	121.86205	124.31626
cg04625873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg04944545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg05145731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg05293319	0	0	0	0	0	463.71435	0	0	0	0	105.44074	0	0	131.13034	0	0	0	0	0	0	248.63252
cg05495011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg05572834	0	0	94.84067	0	208.87728	0	0	0	0	110.55832	105.44074	0	0	0	0	0	101.86411	0	113.81744	0	0
cg05619116	23144.26190	26819.48424	12613.80880	19713.79966	23185.37859	20751.21725	21061.30133	21829.52183	29239.00274	13156.44002	21509.91143	27687.49248	22550.33557	22161.02806	23413.04620	26712.24206	12529.28593	19597.04943	19348.96426	27297.09968	18896.07161
cg05799997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cg05990735	1918.69529	0	284.52200	700.49034	1044.38642	2318.57176	1529.59172	2598.75260	130.53126	221.11664	1159.84817	1564.94523	2013.42282	1835.82481	1752.84838	0	814.91291	440.38313	682.90462	1462.34463	2486.32521
cg06073499	0	114.61318	94.84067	400.28020	104.43864	347.78576	352.98270	259.87526	261.06252	0	421.76297	0	268.45638	0	125.20346	126.59830	101.86411	990.86205	113.81744	0	124.31626
cg06213287	7195.10733	1833.81089	9294.38543	5403.78265	6370.75718	6144.21516	5294.74056	6756.75676	2349.56272	8291.87396	4112.18895	5296.73769	7516.77852	3409.38893	5884.56241	1898.97455	8454.72140	3853.35242	4780.33235	7067.99903	6091.49677
